id,Date,Sport,Séance,Exercice,Durée,poid,Nbr_de_repetitions,Commentaire
81,2024-01-03,Musculation,Dos,Lat Pull,,45.0,20.0,
82,2024-01-03,Musculation,Dos,Lat Pull,,61.3,12.0,
83,2024-01-03,Musculation,Dos,Lat Pull,,61.3,12.0,
84,2024-01-03,Musculation,Dos,Lat Pull,,61.3,12.0,
85,2024-01-03,Musculation,Dos,Lat Pull,,61.3,10.0,
86,2024-01-03,Musculation,Dos,Lat Pull,,,,
87,2024-01-03,Musculation,Dos,Lat Pull,,,,
88,2024-01-03,Musculation,Dos,Biceps Curl Haltères Assis,,8.0,10.0,
89,2024-01-03,Musculation,Dos,Biceps Curl Haltères Assis,,8.0,10.0,
90,2024-01-03,Musculation,Dos,Biceps Curl Haltères Assis,,8.0,10.0,
91,2024-01-03,Musculation,Dos,Biceps Curl Haltères Assis,,8.0,10.0,
92,2024-01-03,Musculation,Dos,Rear Delt,,66.0,10.0,
93,2024-01-03,Musculation,Dos,Rear Delt,,73.0,10.0,
94,2024-01-03,Musculation,Dos,Rear Delt,,73.0,10.0,
95,2024-02-03,Cardio,,Cross Trainning,,,,"20 pompes 
20 ballons mur en équilibres 
12 abdos avec poids 
20 montée caisse 
10abdos circulaire avec poid 
20 Planche militaire "
96,2024-02-03,Musculation,Pectoraux,Ecartés Poulie,,38.3,15.0,
97,2024-02-03,Musculation,Pectoraux,Ecartés Poulie,,41.0,15.0,
98,2024-02-03,Musculation,Pectoraux,Ecartés Poulie,,41.0,15.0,
99,2024-02-03,Musculation,Pectoraux,Ecartés Poulie,,41.0,15.0,
100,2024-02-03,Musculation,Jambes,Mollets sur Leg Press,,66.0,12.0,
101,2024-02-03,Musculation,Jambes,Mollets sur Leg Press,,66.0,12.0,
102,2024-02-03,Musculation,Jambes,Mollets sur Leg Press,,66.0,12.0,
103,2024-02-03,Musculation,Jambes,Mollets sur Leg Press,,66.0,12.0,
104,2024-02-03,Musculation,Jambes,Mollets sur Leg Press,,66.0,12.0,
105,2024-02-03,Musculation,Jambes,Mollets sur Leg Press,,66.0,12.0,
106,2024-02-03,Musculation,Jambes,Hip Abduction,,12.0,54.3,
